"","YearPlanted","Variety","acres","Lag.Phase.G.Vine","Pick.Weight.Grams","Year","VineyardCode","Vineyard","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","PhenoEvent","phenologyDate","BlockID","rootstock","clone","OriginalVineyardBlocks","OriginalBlockName","vineyard"
"56",1993,"Chardonnay",0.48,2250,NA,"2002","QGV","Quails Gate",800,"2.4 x 1.2","33.5g",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-21,"F2B5",NA,NA,NA,NA,NA
"57",1997,"Chenin Blanc",4.72,1375,NA,"2002","QGV","Quails Gate",6500,"2.1 x 1.4","41.6g",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F2B6",NA,NA,NA,NA,NA
"58",1998,"Merlot",3.27,1050,NA,"2002","QGV","Quails Gate",4500,"2.1 x 1.4","41.6g",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F2B7",NA,NA,NA,NA,NA
"59",1998,"Merlot",1.16,875,NA,"2002","QGV","Quails Gate",1600,"2.1 x 1.4","43.7",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F2B8",NA,NA,NA,NA,NA
"60",1998,"Gamay Noir",0.91,1850,NA,"2002","QGV","Quails Gate",1257,"2.1 x 1.4","47.4g",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-20,"F2B9",NA,NA,NA,NA,NA
"61",19975,"Chenin Blanc",1.93,2100,NA,"2002","QGV","Quails Gate",1373,"3.0 x 2.1","41.1g",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B1",NA,NA,NA,NA,NA
"62",1965,"Foch",1.25,2525,NA,"2002","QGV","Quails Gate",780,"3.1 x 2.1","19.1g",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-13,"F3B2",NA,NA,NA,NA,NA
"63",1996,"Pinot Noir",2.47,1275,NA,"2002","QGV","Quails Gate",5000,"2.0 x 1.0","34.4g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B3",NA,NA,NA,NA,NA
"64",1996,"Chardonnay",2.47,975,NA,"2002","QGV","Quails Gate",5000,"2.0 x 1.0","28.6g",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B4",NA,NA,NA,NA,NA
"65",1990,"Pinot Noir",0.91,1550,NA,"2002","QGV","Quails Gate",1103,"2.4 x 1.3","37.8g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B5",NA,NA,NA,NA,NA
"66",1987,"Pinot Noir",0.5,1125,NA,"2002","QGV","Quails Gate",600,"2.4 x 1.3","27.4g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B6",NA,NA,NA,NA,NA
"67",1987,"Pinot Noir",0.96,1700,NA,"2002","QGV","Quails Gate",1160,"2.4 x 1.3","38.6g",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B7",NA,NA,NA,NA,NA
"68",1975,"Pinot Noir",0.54,1100,NA,"2002","QGV","Quails Gate",631,"2.4 x 1.3","30.5g",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F3B8",NA,NA,NA,NA,NA
"69",1982,"Riesling",2.23,1800,NA,"2002","QGV","Quails Gate",2614,"2.4 x 1.3","33.9g",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-24,"F4B1",NA,NA,NA,NA,NA
"70",1975,"Riesling",1.01,1900,NA,"2002","QGV","Quails Gate",711,"3.0 x 2.1","28.3g",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-24,"F4B2",NA,NA,NA,NA,NA
"71",1990,"Pinot Noir",2.71,1525,NA,"2002","QGV","Quails Gate",3279,"2.4 x 1.3","43.5g",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F4B3",NA,NA,NA,NA,NA
"72",1965,"Foch",1.6,6225,NA,"2002","QGV","Quails Gate",1339,"3.0 x 2.1","26.6g",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-13,"F4B4",NA,NA,NA,NA,NA
"73",1997,"Foch",1.83,5850,NA,"2002","QGV","Quails Gate",1515,"3.0 x 1.2","28.8g",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-13,"F4B5",NA,NA,NA,NA,NA
"74",1997,"Cab Sauvignon",1.38,650,NA,"2002","QGV","Quails Gate",1900,"2.0 x 1.4","32.5g",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-23,"F4B6",NA,NA,NA,NA,NA
"75",1993,"Gamay Noir",0.46,2500,NA,"2002","QGV","Quails Gate",500,"3.0 x 1.2","45.4g",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F4B7",NA,NA,NA,NA,NA
"76",1993,"Gamay Noir",0.46,3075,NA,"2002","QGV","Quails Gate",500,"3.0 x 1.2","52.1",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F4B8",NA,NA,NA,NA,NA
"77",1993,"Gamay Noir",2.22,2850,NA,"2002","QGV","Quails Gate",2418,"3.0 x 1.2","54.8g",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F4B9",NA,NA,NA,NA,NA
"78",1990,"Pinot Noir",1.73,1450,NA,"2002","QGV","Quails Gate",2093,"2.4 x 1.3","39.1g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flowering",2002-06-22,"F4B10",NA,NA,NA,NA,NA
