tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
84972,15-09-08,OLV,*11CHD,CHD,800,24.7,6.8,3.44,XPA,,0,,MH,1
84951,15-09-08,OLV,*11CHD,CHD,19465,24.2,5.1,3.54,RPA,BL,0,MP,MH,19
84952,15-09-08,OLV,*11CHE,CHD,9809,24.2,5.1,3.54,RPA,BL,0,MP,MH,9
84933,15-09-08,OLV,*11CHJ,CHD,722,22.4,6.6,3.65,"XPA320,XPA",,0,,MH,1
8495,15-09-08,OLV,*11CHO,CHD,12546,23.6,5.3,3.53,XPA,,0,MP,MH,12
8468,15-08-28,OLV,*11CHXB,CHD,20220,24.5,7,3.49,XPA320,RT,18,mp,MH,18
8470,15-08-28,OLV,*11CHXB,CHD,30675,24.5,7,3.49,XPA320,BC,18,mp,MH,27
8479,15-09-03,OLV,*11CHXB,CHD,40960,24.4,7.1,3.47,XPA320,DB,0,,MH,38
84801,15-09-03,OLV,*11CHXB,CHD,3296,24.4,7.1,3.47,XPA320,BC,0,,MH,3
84934,15-09-08,OLV,*11CHXB,CHD,1445,24.4,7.1,3.47,"XPA320,XPA",,0,,MH,2
8670,15-09-28,OLV,*11GAK,GAM,10770,24.8,5.9,3.52,606,WA,0,MP,MH,10
8672,15-09-28,OLV,*11GAK,GAM,26900,24.8,5.9,3.52,606,WA,0,MP,MH,26
8701,15-09-30,OLV,*11MEV,MER,1160,25.3,4.7,3.48,605,WA,0,,MH,1
8704,15-09-30,OLV,*11MEV,MER,1417,25.3,4.7,3.48,605,DB,0,,MH,1
87376,15-10-02,OLV,*11MEV,MER,958,26.6,4.73,3.48,459,JJ,0,,MH,1
8759,15-10-06,OLV,*11MEV,MER,1500,26.6,3.35,3.75,604,,0,,MH,2
87011,15-09-30,OLV,*11MEW,MER,26058,25.2,3.4,3.75,605,WA,0,,MH,25
87041,15-09-30,OLV,*11MEW,MER,31835,25.2,3.4,3.75,605,DB,0,,MH,30
87081,15-09-30,OLV,*11MEW,MER,3368,25.2,3.4,3.75,605,RL,0,,MH,4
8714,15-10-01,OLV,*11MEW,MER,885,25.9,4.2,3.69,459,,14,,MH,1
87012,15-09-30,OLV,*11MEZ,MER,5842,24.5,4.5,3.53,605,WA,0,,MH,6
87042,15-09-30,OLV,*11MEZ,MER,7138,24.5,4.5,3.53,605,DB,0,,MH,7
8603,15-09-22,OLV,*11PBS,PBL,26640,23.6,5.4,3.29,XPA320,,9,,MH,24
86052,15-09-22,OLV,*11PBS,PBL,21755,23.6,5.4,3.29,"RPA,XPA320",,9,,MH,19
8507,15-09-10,OLV,*11PNF,PNN,15980,23.8,4.9,3.67,"925,B    1",DB,15,mp,MH,14
85191,15-09-11,OLV,*11PNF,PNN,1217,24.1,7.9,3.14,"929,B    2",DB,16,MP,MH,1
8512,15-09-10,OLV,*11PNG,PNN,16440,23.9,5.3,3.58,"926,B    1",BC,15,MP,MH,14
85192,15-09-11,OLV,*11PNG,PNN,9737,24.1,7.9,3.14,"929,B    2",DB,16,MP,MH,8
85431,15-09-15,OLV,*11PNH,PNN,22668,25.1,4.61,3.49,"OV   2,OV   3,B    3",AM,0,MP,MH,20
85842,15-09-18,OLV,*11PNH,PNN,5488,23.1,5.2,3.64,"OV   1,B    2",RT,0,mp,MH,5
85432,15-09-15,OLV,*11PNI,PNN,3922,25.1,4.65,3.56,"OV   3,B    3",AM,0,MP,MH,4
88261,15-10-16,OLV,*12CAD,CAS,36307,25,4.26,3.74,454,,0,,MH,35
8828,15-10-16,OLV,*12CAD,CAS,19750,25.4,4.26,3.74,"454,606",,0,,MH,20
88262,15-10-16,OLV,*12CAL,CAS,2733,25,4.26,3.74,454,,0,,MH,3
8852,15-10-22,OLV,*12CFEA,CAF,20755,26.2,3.97,3.77,"919,B    3",SF,0,MP,MH,19
88553,15-10-22,OLV,*12CFEA,CAF,258,26,3.97,3.77,"917,B    4",CB,0,HP-GLEANING,MH,0
84931,15-09-08,OLV,*12CHQ,CHD,7948,22.5,6.5,3.67,"XPA320,XPA",,0,HP,MH,11
8607,15-09-22,OLV,*12PBM,PBL,23350,23.6,5.3,3.48,"RPA,DUMMY",,9,,MH,20
86051,15-09-22,OLV,*12PBM,PBL,21755,23.6,5.4,3.29,XPA320,,9,,MH,19
8555,15-09-16,OLV,*12PNA,PNN,13760,24.1,6.5,3.48,"919,B    4",JP,0,MP,MH,12
85581,15-09-16,OLV,*12PNA,PNN,33380,24.1,6.5,3.48,"OV  16,OV  17,919,B",JP,0,MP,MH,31
