tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
69862,11-11-03,OLV,*10VAB,VIO,3403,0,22.5,6.74,3.2,XPA150,FL,HP,MH,4,FALSE
66172,11-10-28,OLV,*11CAA,CAS,4011,0,20.5,7.48,3.11,905,R,MP,MH,4,FALSE
70351,11-11-08,OLV,*11CAA,CAS,4287,0,20.5,7.48,3.11,607,BL,MP,MH,4,FALSE
66173,11-10-28,OLV,*11CAB,CAS,4011,0,19.9,8.96,3.04,905,R,MP,MH,4,FALSE
70352,11-11-08,OLV,*11CAB,CAS,4287,0,19.9,8.96,3.04,607,BL,MP,MH,4,FALSE
6612,11-10-28,OLV,*11CAP,CAS,25945,0,22.2,8,3.07,905,BD,MP,MH,25,FALSE
66171,11-10-28,OLV,*11CAQ,CAS,28078,0,21.4,8.58,3.13,"905,915",R,MP,MH,28,FALSE
70353,11-11-08,OLV,*11CAR,CAS,23576,0,22.2,7.24,3.13,607,BL,MP,MH,22,FALSE
66051,11-10-27,OLV,*11CFL,CAF,23969,0,23.6,6.09,3.17,604,BL,MP,MH,20,FALSE
66131,11-10-28,OLV,*11CFL,CAF,8462,0,23.6,6.09,3.17,915,FL,MP,MH,7,FALSE
66021,11-10-27,OLV,*11CFM,CAF,13005,0,23.3,6.41,3.17,604,BL,MP,MH,11,FALSE
66052,11-10-27,OLV,*11CFM,CAF,10786,0,23.3,6.41,3.17,604,BL,MP,MH,9,FALSE
66132,11-10-28,OLV,*11CFM,CAF,7253,0,23.3,6.41,3.17,915,FL,MP,MH,6,FALSE
66022,11-10-27,OLV,*11CFN,CAF,21280,0,23,6.74,3.14,"604,915",BL,MP,MH,18,FALSE
6616,11-10-28,OLV,*11CFN,CAF,1410,0,23,6.74,3.14,915,R,MP,MH,2,FALSE
7042,11-11-09,OLV,*11CFN,CAF,5190,0,23,6.74,3.14,607,BD,MP,MH,4,FALSE
63853,11-10-03,OLV,*11CHC,CHD,3710,0,21.8,8.83,3.26,XPA320,BL,MP,MH,4,FALSE
63861,11-10-03,OLV,*11CHC,CHD,15920,0,21.8,8.83,3.26,XPA320,BL,MP,MH,15,FALSE
63862,11-10-03,OLV,*11CHD,CHD,24410,0,21.4,8.88,3.25,XPA320,BL,MP,MH,23,FALSE
63871,11-10-03,OLV,*11CHD,CHD,7030,0,21.4,8.88,3.25,XPA320,BL,MP,MH,7,FALSE
63872,11-10-03,OLV,*11CHE,CHD,7030,0,20.7,9.75,3.21,XPA320,BL,MP,MH,7,FALSE
63852,11-10-03,OLV,*11CHO,CHD,15765,0,22.1,8.97,3.21,XPA320,BL,MP,MH,17,FALSE
6382,11-10-03,OLV,*11CHX,CHD,41040,0,22.5,8.64,3.26,"XPA320,RPA",WA,MP,MH,38,FALSE
6383,11-10-03,OLV,*11CHX,CHD,41390,0,22.5,8.64,3.26,XPA320,BL,MP,MH,38,FALSE
6384,11-10-03,OLV,*11CHX,CHD,40780,0,22.5,8.64,3.26,"XPA,RPA",BL,MP,MH,38,FALSE
63851,11-10-03,OLV,*11CHX,CHD,15765,0,22.5,8.64,3.26,RPA,BL,MP,MH,17,FALSE
6518,11-10-20,OLV,*11GAK,GAM,14645,0,22.5,9.67,3.2,454,FL,MP,MH,13,FALSE
6520,11-10-20,OLV,*11GAK,GAM,40065,0,22.5,9.67,3.2,454,FL,MP,MH,35,FALSE
65192,11-10-20,OLV,*11MEV,MER,4270,0,20.1,9.09,3.12,935,FL,MP,MH,4,FALSE
64594,11-10-13,OLV,*11MEW,MER,2445,0,23.9,5.3,3.41,OV   3,BL,HP,MH,3,FALSE
6506,11-10-18,OLV,*11MEW,MER,19230,0,20.2,8.53,3.16,453,FL,MP,MH,18,FALSE
6508,11-10-18,OLV,*11MEW,MER,40300,0,20.2,8.53,3.16,"453,452",FL,MP,MH,38,FALSE
6510,11-10-18,OLV,*11MEW,MER,14570,0,20.2,8.53,3.16,452,BL,MP,MH,14,FALSE
6517,11-10-19,OLV,*11MEW,MER,40170,0,20.2,8.53,3.16,935,FL,MP,MH,38,FALSE
65191,11-10-20,OLV,*11MEW,MER,9607,0,20.2,8.53,3.16,935,FL,MP,MH,9,FALSE
64593,11-10-13,OLV,*11MEZ,MER,8150,0,21.3,8.08,3.22,OV   3,BL,HP,MH,10,FALSE
65193,11-10-20,OLV,*11MEZ,MER,12808,0,21.5,7.93,3.22,935,FL,MP,MH,12,FALSE
6390,11-10-06,OLV,*11PBS,PBL,38490,0,19.6,8.3,3.09,XPA320,R,MP,MH,38,FALSE
6391,11-10-06,OLV,*11PBS,PBL,39385,0,19.6,8.3,3.09,XPA320,BD,MP,MH,35,FALSE
63601,11-09-28,OLV,*11PNF,PNN,6249,0,22,8.52,3.24,930,R,HP,MH,7,FALSE
63651,11-09-29,OLV,*11PNF,PNN,12883,0,22,8.52,3.24,"931,932",BL,MP,MH,11,FALSE
63602,11-09-28,OLV,*11PNG,PNN,8034,0,21.8,8.3,3.24,"930,932",R,HP,MH,9,FALSE
63652,11-09-29,OLV,*11PNG,PNN,17567,0,21.8,8.3,3.24,"933,930,932",BL,MP,MH,15,FALSE
64441,11-10-12,OLV,*11PNH,PNN,28234,0,20.7,8.52,3.15,"926,925,951",BD,MP,MH,24,FALSE
64442,11-10-12,OLV,*11PNI,PNN,4706,0,22,8.51,3.21,"925,951",BD,MP,MH,4,FALSE
64973,11-10-18,OLV,*11SBJ,SBL,3430,0,22,11.3,3.02,XPA320,BL,MP,MH,3,FALSE
64984,11-10-18,OLV,*11SBJ,SBL,3428,0,22,11.3,3.02,XPA320,FL,MP,MH,3,FALSE
6499,11-10-18,OLV,*11SBJ,SBL,3775,0,22,11.3,3.02,XPA320,BL,MP,MH,3,FALSE
64983,11-10-18,OLV,*11SBT,SBL,1142,0,18.9,8.56,3.1,XPA320,FL,MP,MH,1,FALSE
64982,11-10-18,OLV,*11SBU,SBL,25132,0,18.9,8.56,3.1,XPA320,FL,MP,MH,22,FALSE
64972,11-10-18,OLV,*11SBY,SBL,28586,0,18,9.15,3.1,"RPA,XPA320",BL,MP,MH,25,FALSE
6546,11-10-24,OLV,*12CAD,CAS,38130,0,21.1,7.46,3.22,603,R,MP,MH,38,FALSE
6549,11-10-24,OLV,*12CAD,CAS,29490,0,21.1,7.46,3.22,603,BD,MP,MH,28,FALSE
6618,11-10-28,OLV,*12CAL,CAS,5925,0,21.1,7.46,3.22,605,BL,HP,MH,7,FALSE
6484,11-10-17,OLV,*12MEI,MER,31570,0,18.9,7.69,3.18,604,BL,MP,MH,30,FALSE
6486,11-10-17,OLV,*12MEI,MER,12250,0,18.9,7.69,3.18,604,BL,MP,MH,12,FALSE
64881,11-10-17,OLV,*12MEI,MER,12900,0,18.9,7.69,3.18,604,BD,MP,MH,12,FALSE
6478,11-10-17,OLV,*12MEP,MER,17950,0,21,6.53,3.31,605,FL,MP,MH,18,FALSE
6481,11-10-17,OLV,*12MEP,MER,34210,0,21,6.53,3.31,605,FL,MP,MH,32,FALSE
64882,11-10-17,OLV,*12MEP,MER,29025,0,21,6.53,3.31,605,BD,MP,MH,27,FALSE
64693,11-10-14,OLV,*12PBM,PBL,6222,0,20.3,8.07,3.21,XPA320,BD,MP,MH,6,FALSE
6470,11-10-14,OLV,*12PBM,PBL,39545,0,20.3,8.07,3.21,"XPA320,RPA",BD,MP,MH,39,FALSE
6422,11-10-08,OLV,*12PNA,PNN,22070,0,22.3,7.62,3.23,"924,RPA,924,RPA,924,R",AM,MP,MH,20,FALSE
64311,11-10-11,OLV,*12PNA,PNN,16390,0,22.3,7.62,3.23,922,BL,MP,MH,14,FALSE
64371,11-10-11,OLV,*12PNA,PNN,2377,0,22.3,7.62,3.23,923,BL,HP,MH,2,FALSE
