grower,variety,grow.blk,date,tag.no,lbs,brix,ta,ph
*15,MER,*15MEM,14-10-14,8246,3705,25.1,6.3,3.58
*15,MER,*15MEM,14-10-14,82451,4005,25.1,6.3,3.58
*15,MER,*15MEN,14-10-14,82452,24340,23.5,7.5,3.42
*15,MER,*15MEO,14-10-14,82453,6340,23.1,7.6,3.36
*15,PGR,*15PGQ,14-10-09,8220,27395,25.1,6.53,3.4
*15,PGR,*15PGS,14-10-07,8183,34550,24.7,6.34,3.4
*15,PGR,*15PGS,14-10-08,8200,34540,24.7,6.3,3.4
*15,PGR,*15PGT,14-10-10,82331,33340,22.9,6.19,3.33
*15,PGR,*15PGU,14-10-10,82332,1150,23.4,5.4,3.38
*15,PGR,*15PGU,14-10-21,8316,34970,25.7,6.3,3.39
*15,PNN,*15PNAA,14-10-17,8281,10059,24.5,6.8,3.43
*15,PNN,*15PNAB,14-10-08,8199,9599,24.7,5.3,3.65
*15,PNN,*15PNAC,14-10-10,82341,3208,23.8,6.8,3.59
*15,PNN,*15PNAD,14-10-10,8232,8210,25.4,6.6,3.58
*15,PNN,*15PNAD,14-10-10,82342,9857,25.4,6.6,3.58
*15,PNN,*15PNXA,14-10-07,81842,3300,25.5,4.91,3.51
*15,PNN,*15PNXB,14-10-07,81841,1650,26.6,4.81,3.61
*15,RSL,*15RSL,14-10-21,83221,15365,23.2,8.6,3.07
*15,RSL,*15RSZ,14-10-21,83222,3650,0,0,0
*15,VIO,*15VIA,14-10-23,8359,3400,24.5,5.2,3.64
*16,CAF,*16CFG,14-10-23,8344,18550,27.6,4.2,3.76
*16,CAF,*16CFG,14-10-31,84252,600,0,0,0
*16,CAS,*16CAJ,14-10-23,8343,8350,28.1,4.7,3.76
*16,CAS,*16CAJ,14-10-23,8346,6570,28.1,4.7,3.76
*16,CAS,*16CAJ,14-10-31,84253,370,0,0,0
*16,MER,*16MEH,14-10-10,8225,24840,28.2,4,3.73
*16,MER,*16MEH,14-10-31,84251,730,0,0,0
*16,MSC,*16MUA,14-09-15,8017,12260,23.6,4.7,3.74
*16,MSC,*16MUA,14-09-15,8019,33295,23.6,4.7,3.74
*16,MSC,*16MUA,14-09-15,80202,951,22.2,5.02,3.51
*16,PGR,*16PGM,14-09-30,8105,25850,22.2,5.05,3.47
*16,PGR,*16PGM,14-09-30,81022,9300,22.2,5.05,3.47
