tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
71702,12-10-10,OLV,*01MEH,MER,4168,0,25.20,7.53,3.22,918,R,MP,4
71711,12-10-10,OLV,*01MEG,MER,11633,0,22.90,7.64,3.21,918,BD,MP,11
71712,12-10-10,OLV,*01MEH,MER,1057,0,25.20,7.53,3.22,918,BD,MP,1
7172,12-10-10,OLV,*10CHA,CHD,10565,0,23.30,7.06,3.29,XPA150,R,MP,11
7173,12-10-10,OSO,*03MEI,MER,9480,0,23.90,5.32,3.47,917,R,HP,12
7174,12-10-10,OLV,HGLPGR,PGR,21010,0,21.90,9.11,3.18,XPA150,R,HP,20
7175,12-10-10,OLV,GGLPGC,PGR,16200,0,21.80,7.76,3.26,XPA150,R,HP,16
7176,12-10-10,OSO,*03MEI,MER,33025,0,23.90,5.32,3.47,917,BL,HP,41
7177,12-10-10,OSO,*20PVC,PVD,6835,0,0.00,0.00,0.00,918,BL,HP,7
7166,12-10-10,OLV,*10CHQ,CHD,20290,0,23.40,8.10,3.26,XPA320,R,MP,18
71691,12-10-10,OLV,*10CHQ,CHD,17949,0,23.40,8.10,3.26,XPA320,BD,MP,17
71692,12-10-10,OLV,*10CHP,CHD,1056,0,23.30,7.06,3.29,RPA150,BD,HP,1
71693,12-10-10,OLV,*10CHA,CHD,19005,0,23.30,7.06,3.29,RPA150,BD,MP,18
71681,12-10-10,OLV,*10CHQ,CHD,21683,0,23.40,8.10,3.26,XPA320,RD,MP,20
71682,12-10-10,OLV,*10CHA,CHD,16262,0,23.30,7.06,3.29,RPA150,RD,MP,15
71683,12-10-10,OLV,*10CHP,CHD,1085,0,23.30,7.06,3.29,RPA150,RD,MP,1
7179,12-10-11,OLV,*10PGR,PGR,37380,0,24.90,6.85,3.26,XPA150,DB,MP,34
7178,12-10-11,OLV,*16SBC,SBL,1330,0,23.50,9.48,3.09,XPA320,DB,HP,2
7180,12-10-11,OLV,*10PGR,PGR,39730,0,24.90,6.85,3.26,XPA150,BD,MP,36
71811,12-10-11,OLV,*18MEG,MER,10494,0,23.10,8.74,3.13,938,BD,MP,10
71812,12-10-11,OLV,*18MEH,MER,5248,0,24.30,8.06,3.14,935,BD,MP,5
71813,12-10-11,OLV,*18MEI,MER,22038,0,23.10,8.28,3.18,935,BD,MP,21
7182,12-10-11,OLV,*18MEH,MER,37040,0,24.30,8.06,3.14,935,BD,MP,36
7183,12-10-11,OLV,*10PGR,PGR,41350,0,24.90,6.85,3.26,"XPA320,935",R,MP,36
71841,12-10-11,OLV,*18MEI,MER,2982,0,23.10,8.28,3.18,936,R,MP,3
71842,12-10-11,OLV,*18MEJ,MER,32808,0,23.90,7.94,3.19,936,R,MP,33
7185,12-10-11,OLV,BR1PGB,PGR,4525,0,23.10,6.66,3.29,RPA150,R,HP,5
7186,12-10-11,OLV,BROPGC,PGR,7775,0,22.00,6.68,3.24,RPA150,R,HP,9
7187,12-10-11,OLV,JGLPGC,PGR,28980,0,23.30,8.02,3.30,"XPA320,RPA150",R,HP,32
71881,12-10-11,OLV,*18MEG,MER,29368,0,23.10,8.74,3.13,938,R,MP,27
71882,12-10-11,OLV,*18MEI,MER,10877,0,23.10,8.28,3.18,"936,917",R,MP,10
7189,12-10-11,OLV,HUGPNA,PNN,6825,0,24.60,8.10,3.23,917,R,HP,7
7190,12-10-11,OSO,*03MEI,MER,5060,0,23.90,5.32,3.47,917,R,HP,6
7191,12-10-11,OSO,CHLVIB,VIO,15335,0,23.20,8.03,3.20,XPA150,R,HP,17
7193,12-10-11,OLV,GGLCHA,CHD,24925,0,22.40,8.76,3.17,XPA320,BL,HP,29
7194,12-10-11,OLV,HGLCHD,CHD,30110,0,22.10,10.20,3.15,XPA320,WA,HP,32
7196,12-10-11,OLV,*10PGR,PGR,145,0,24.90,6.85,3.26,RPA150,DB,HP,1
7192,12-10-11,SUM,DENPGA,PGR,14235,0,24.50,11.70,3.03,RPA150,R,HP,17
7195,12-10-12,OLV,*11SBY,SBL,39230,0,21.40,9.09,3.13,XPA320,KF,MP,36
71971,12-10-12,OLV,*11SBY,SBL,1108,0,21.40,9.09,3.13,XPA320,BC,MP,1
71972,12-10-12,OLV,*11SBU,SBL,38772,0,22.00,9.45,3.09,"RPA150,XPA320",BC,MP,35
7198,12-10-12,OLV,*11SBY,SBL,4160,0,21.40,9.09,3.13,XPA320,R,MP,4
71991,12-10-12,OLV,*01MEG,MER,25222,0,22.90,7.64,3.21,911,R,MP,24
71992,12-10-12,OLV,*01MEE,MER,8408,0,23.40,7.64,3.23,911,R,MP,8
7200,12-10-12,OLV,JGLGWA,GZT,9295,0,23.10,8.18,3.31,"RPA150,XPA150",BC,HP,11
7201,12-10-12,OLV,SIDMER,MER,9170,0,24.20,7.70,3.22,910,BL,HP,10
7202,12-10-12,OLV,BR1GWA,GZT,19555,0,22.10,6.33,3.38,XPA150,BC,HP,21
7204,12-10-12,OLV,R13GWA,GZT,17180,0,22.80,5.30,3.45,RPA150,R,HP,24
7205,12-10-12,OLV,SIDMER,MER,23030,0,24.20,7.70,3.22,910,BC,HP,26
7206,12-10-12,OLV,*01MEE,MER,13190,0,23.40,7.60,3.23,911,BC,HP,12
72031,12-10-12,OSO,*19MEK,MER,9375,0,25.60,5.15,3.88,OV   6,?,HP,11
72032,12-10-12,OSO,*19MEN,MER,2365,0,25.60,5.15,3.88,OV   6,?,HP,3
7209,12-10-15,OLV,*17SBE,SBL,39330,0,23.60,7.42,3.27,"XPA150,RPA150",R,MP,36
7211,12-10-15,OLV,*04MEA,MER,13345,0,24.20,8.29,3.13,908,BL,MP,13
7212,12-10-15,OLV,*17SBE,SBL,8770,0,23.60,7.42,3.27,XPA150,FL,MP,8
7214,12-10-15,OLV,*04MEA,MER,35975,0,24.20,8.29,3.13,908,BL,MP,35
7217,12-10-15,OSO,*02MEI,MER,29360,0,25.40,4.20,3.54,"OV   5,OV   4,B    1",CB,HP,36
7207,12-10-15,OLV,*12SBJ,SBL,38950,0,23.00,6.84,3.27,XPA320,BC,MP,36
7208,12-10-15,OLV,*12SBJ,SBL,38020,0,23.00,6.84,3.27,XPA320,BL,MP,36
7210,12-10-15,OLV,*12SBJ,SBL,39370,0,23.00,6.84,3.27,XPA320,BL,MP,36
