HMV,M,Muscat,,,30-May,,23-Jun,19-Jun,02-Jul,08-Jul,05-Jul,17-Jun,28-Jun,19-Jun,28-Jun,25-Jun,19-Jun,20-Jun,29-Jun,,23-Jun,
HMV,N,Gamay Noir,09-Jun,,02-Jun,,21-Jun,18-Jun,30-Jun,05-Jul,28-Jun,17-Jun,23-Jun,17-Jun,28-Jun,28-Jun,20-Jun,20-Jun,28-Jun,20-Jun,21-Jun,
HMV,O,Pinot Noir,09-Jun,,02-Jun,08-Jun,21-Jun,19-Jun,30-Jun,05-Jul,28-Jun,17-Jun,23-Jun,20-Jun,28-Jun,28-Jun,19-Jun,19-Jun,28-Jun,23-Jun,21-Jun,
HMV,P,Gewurtztraminer,11-Jun,,04-Jun,09-Jun,22-Jun,18-Jun,02-Jul,07-Jul,29-Jun,17-Jun,23-Jun,19-Jun,25-Jun,25-Jun,19-Jun,18-Jun,28-Jun,,21-Jun,
HMV,Q,Gewurtztraminer,11-Jun,,04-Jun,09-Jun,22-Jun,18-Jun,02-Jul,07-Jul,28-Jun,16-Jun,23-Jun,24-Jun,25-Jun,25-Jun,18-Jun,16-Jun,27-Jun,23-Jun,12-Jul,
HMV,R,Pinot Blanc,12-Jun,,05-May,09-Jun,24-Jun,20-Jun,04-Jul,08-Jul,04-Jul,23-Jun,29-Jun,19-Jun,25-Jun,25-Jun,19-Jun,,,25-Jun,20-Jun,
HMV,S,Gewurtztraminer,11-Jun,,04-Jun,08-Jun,23-Jun,18-Jun,02-Jul,09-Jul,29-Jun,17-Jun,30-Jun,20-Jun,25-Jun,25-Jun,18-Jun,16-Jun,,23-Jun,21-Jun,
HMV,T,Gewurtztraminer,11-Jun,,04-Jun,08-Jun,23-Jun,19-Jun,02-Jul,09-Jul,29-Jun,17-Jun,29-Jun,20-Jun,28-Jun,25-Jun,18-Jun,16-Jun,28-Jun,23-Jun,21-Jun,
Jentsch,A,Merlot,08-Jun,18-Jun,01-Jun,04-Jun,,13-Jun,26-Jun,29-Jun,,,,,,,,,,,14-Jun,
Jentsch,B,Pinot Noir,,21-Jun,30-May,03-Jun,12-Jun,10-Jun,27-Jun,02-Jul,25-Jun,13-Jun,13-Jun,06-Jun,11-Jun,15-Jun,09-Jun,18-Jun,17-Jun,,14-Jun,
Jentsch,C,Pinot Gris,,,30-May,03-Jun,12-Jun,11-Jun,27-Jun,02-Jul,25-Jun,13-Jun,13-Jun,06-Jun,11-Jun,15-Jun,09-Jun,18-Jun,17-Jun,,14-Jun,
